,zipcode,median_household_income,population,median_home_value,major_city,lat,long
115,00926,,,,San Juan,18.345400, -66.051545
116,00927,,,,San Juan,18.388011, -66.072089
117,00934,,288.0,,Fort Buchanan,18.411313, -66.124234
118,00936,,681.0,,San Juan,18.395463, -66.073772
119,00949,,,,Toa Baja,18.430696, -66.212833
120,00950,,9.0,,Toa Baja,18.459699, -66.233101
121,00951,,35.0,,Toa Baja,18.427530, -66.253789
122,00952,,10008.0,,Sabana Seca,18.427448, -66.182026
123,00953,,73014.0,,Toa Alta,18.360729, -66.251527
124,00956,,79304.0,,Bayamon,18.321137, -66.170419
125,00957,,45680.0,,Bayamon,18.368414, -66.187693
126,00959,,50560.0,,Bayamon,18.391820, -66.154564
127,00960,,1779.0,,Bayamon,18.416919, -66.145795
128,00961,,32429.0,,Bayamon,18.413286, -66.164617
129,00962,,22491.0,,Catano,18.444614, -66.148839
130,00965,,9134.0,,Guaynabo,18.433757, -66.114752
131,00966,,16676.0,,Guaynabo,18.401521, -66.117597
132,00968,,3478.0,,Guaynabo,18.406085, -66.101232
133,00969,,42219.0,,Guaynabo,18.368062, -66.108062
134,00971,,30986.0,,Guaynabo,18.318884, -66.119190
135,00976,,65136.0,,Trujillo Alto,18.336176, -65.994099
136,00979,,17030.0,,Carolina,18.444394, -66.030036
137,00982,,16428.0,,Carolina,18.411261, -65.992045
138,00983,,39234.0,,Carolina,18.417816, -65.975819
139,00985,,36553.0,,Carolina,18.410770, -65.947928
140,00987,,63661.0,,Carolina,18.338161, -65.941083
141,01001,58733.0,16769.0,213000.0,Agawam,42.062368, -72.625754
142,01002,54422.0,29049.0,338900.0,Amherst,42.364061, -72.458739
143,01003,,10372.0,,Amherst,42.389941, -72.524108
144,01005,68644.0,5079.0,208500.0,Barre,42.418848, -72.106598
145,01007,71875.0,14649.0,260000.0,Belchertown,42.279010, -72.400468
146,01008,71635.0,1263.0,247200.0,Blandford,42.190144, -72.954350
147,01009,38644.0,741.0,172600.0,Bondsville,42.211969, -72.341433
148,01010,81196.0,3609.0,264800.0,Brimfield,42.128176, -72.205352
149,01011,64891.0,1370.0,191000.0,Chester,42.300281, -72.968716
150,01012,58750.0,661.0,242600.0,Chesterfield,42.375425, -72.858192
151,01013,41273.0,23188.0,179800.0,Chicopee,42.154904, -72.602804
152,01020,51255.0,29668.0,181400.0,Chicopee,42.172602, -72.562073
153,01022,58938.0,2451.0,131400.0,Chicopee,42.197741, -72.542713
154,01026,52155.0,946.0,280800.0,Cummington,42.465495, -72.918267
155,01027,59963.0,17660.0,236700.0,Easthampton,42.295008, -72.751877
156,01028,80469.0,15720.0,256300.0,East Longmeadow,42.062378, -72.498111
157,01029,54330.0,789.0,340800.0,East Otis,42.193395, -73.044647
158,01030,71228.0,11669.0,248800.0,Feeding Hills,42.072925, -72.686972
159,01031,42404.0,1308.0,219800.0,Gilbertville,42.329399, -72.198187
160,01032,61806.0,570.0,231700.0,Goshen,42.457613, -72.814780
161,01033,73816.0,6227.0,245900.0,Granby,42.244949, -72.500143
162,01034,77500.0,2021.0,282100.0,Granville,42.098676, -72.961564
163,01035,73250.0,5250.0,326400.0,Hadley,42.356491, -72.568632
164,01036,81130.0,5109.0,270300.0,Hampden,42.062946, -72.417297
165,01037,84444.0,838.0,279800.0,Hardwick,42.372728, -72.195412
166,01038,61603.0,2545.0,299200.0,Hatfield,42.385496, -72.606929
167,01039,72188.0,1336.0,277400.0,Haydenville,42.404278, -72.688922
168,01040,31628.0,39880.0,187200.0,Holyoke,42.211656, -72.642448
169,01050,56184.0,2530.0,220200.0,Huntington,42.286762, -72.869695
170,01053,64896.0,1685.0,289100.0,Leeds,42.356301, -72.713584
171,01054,73000.0,1851.0,341700.0,Leverett,42.468898, -72.484579
172,01056,61073.0,21103.0,225500.0,Ludlow,42.183577, -72.457812
173,01057,64747.0,8534.0,240700.0,Monson,42.093596, -72.321494
174,01060,52607.0,15284.0,305500.0,Northampton,42.321488, -72.630588
175,01062,65756.0,11150.0,270300.0,Florence,42.328308, -72.703924
176,01063,,430.0,,Northampton,42.318882, -72.638530
177,01066,,64.0,,North Hatfield,42.406903, -72.655018
178,01068,85556.0,1902.0,272800.0,Oakham,42.350862, -72.044248
179,01069,53417.0,8469.0,198700.0,Palmer,42.187794, -72.308469
180,01070,63889.0,629.0,259500.0,Plainfield,42.518446, -72.919017
181,01071,75363.0,1596.0,226900.0,Russell,42.160060, -72.873853
182,01072,66705.0,1478.0,251200.0,Shutesbury,42.456968, -72.417244
183,01073,80000.0,5792.0,307300.0,Southampton,42.226949, -72.741588
184,01074,,319.0,,South Barre,42.387603, -72.093230
185,01075,61431.0,17527.0,234600.0,South Hadley,42.256208, -72.581030
186,01077,78476.0,9502.0,259400.0,Southwick,42.052570, -72.777353
187,01079,34906.0,692.0,179600.0,Thorndike,42.197913, -72.329709
188,01080,40559.0,2334.0,159700.0,Three Rivers,42.185727, -72.361558
189,01081,56726.0,1698.0,204300.0,Wales,42.061313, -72.234411
190,01082,51717.0,10322.0,201500.0,Ware,42.293533, -72.278599
191,01083,39521.0,2888.0,197000.0,Warren,42.203642, -72.194599
192,01084,51667.0,176.0,305000.0,West Chesterfield,42.392370, -72.882235
193,01085,59881.0,41117.0,224200.0,Westfield,42.153503, -72.771602
194,01086,,687.0,,Westfield,42.130446, -72.793967
195,01088,43234.0,670.0,225000.0,West Hatfield,42.391709, -72.646494
196,01089,54126.0,28391.0,201000.0,West Springfield,42.125451, -72.649734
197,01092,55370.0,1394.0,227500.0,West Warren,42.191868, -72.235108
198,01093,83750.0,325.0,340400.0,Whately,42.441943, -72.661817
199,01094,18241.0,351.0,143300.0,Wheelwright,42.359108, -72.136800
200,01095,86667.0,14319.0,286100.0,Wilbraham,42.138499, -72.420715
201,01096,65365.0,2217.0,257400.0,Williamsburg,42.397140, -72.763572
202,01097,42031.0,111.0,,Woronoco,42.178038, -72.832612
203,01098,69079.0,1101.0,246500.0,Worthington,42.394315, -72.943115
204,01103,14133.0,2479.0,93900.0,Springfield,42.104106, -72.592027
205,01104,32273.0,22865.0,132400.0,Springfield,42.134009, -72.565378
206,01105,18402.0,12350.0,138900.0,Springfield,42.099958, -72.580765
207,01106,103472.0,16021.0,338400.0,Longmeadow,42.047565, -72.571130
208,01107,21737.0,11611.0,153400.0,Springfield,42.121060, -72.607068
209,01108,34064.0,26688.0,151600.0,Springfield,42.080692, -72.560791
210,01109,33376.0,30250.0,130500.0,Springfield,42.119674, -72.549726
211,01118,62283.0,14071.0,161600.0,Springfield,42.094194, -72.525081
212,01119,46055.0,14152.0,144100.0,Springfield,42.124978, -72.511210
213,01128,78864.0,2631.0,179000.0,Springfield,42.092296, -72.489135
214,01129,61435.0,7019.0,162200.0,Springfield,42.118690, -72.488200
215,01151,30043.0,8698.0,152700.0,Indian Orchard,42.151860, -72.509131
216,01199,,0.0,,Springfield,42.120563, -72.604468
217,01201,42633.0,46504.0,178600.0,Pittsfield,42.448236, -73.273727
218,01220,40443.0,8603.0,151100.0,Adams,42.623799, -73.116736
219,01222,75598.0,829.0,247100.0,Ashley Falls,42.058703, -73.322175
220,01223,54904.0,2314.0,222500.0,Becket,42.312225, -73.110124
221,01224,90223.0,182.0,172200.0,Berkshire,42.513163, -73.195743
222,01225,49788.0,3117.0,206300.0,Cheshire,42.563401, -73.153335
223,01226,51827.0,6945.0,205200.0,Dalton,42.481119, -73.135073
224,01229,68125.0,95.0,395000.0,Glendale,42.276338, -73.335896
225,01230,51467.0,8430.0,351100.0,Great Barrington,42.173192, -73.324283
226,01235,64420.0,2766.0,203400.0,Hinsdale,42.425676, -73.063012
227,01236,51964.0,1509.0,296900.0,Housatonic,42.266496, -73.378393
